Title,Writer,Publisher,Run,Read,Random Comic,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Chew (20090 Nomnibus),,,,,,,,,,,,,,,Chew (20090 Nomnibus)
Chrono Crusade,"Moriyama, Daisuke",Manga,8.0,False,,,,,,,,,,,Chrono Crusade
Claymore,"Yagi, Norihiro",Manga,27.0,False,,,,,,,,,,,Claymore
Clean Room,"Simone, Gail",Vertigo,18.0,False,,,,,,,,,,,Clean Room
Colder,"Tobin, Paul",Dark Horse,15.0,False,,,,,,,,,,,Colder
Come Again,"Powell, Nate",Top Shelf,11.0,False,,,,,,,,,,,Come Again
Conan,"Busiek, Kurt",Dark Horse,37.0,False,,,,,,,,,,,Conan
Conan the Barbarian (2024),,,,,,,,,,,,,,,Conan the Barbarian (2024)
Conan The Barbarian Vol 4: Frozen Faith,,,,,,,,,,,,,,,Conan The Barbarian Vol 4: Frozen Faith
Conan the Barbarian: Exodus,"Ribic, Esad",Marvel,1.0,False,,,,,,,,,,,Conan the Barbarian: Exodus
Conan/Red Sonja,"Simone, Gail",Dark Horse,4.0,False,,,,,,,,,,,Conan/Red Sonja
Concrete,"Chadwick, Paul",Dark Horse,36.0,False,,,,,,,,,,,Concrete
Convert Collected TBP,,,,,,,,,,,,,,,Convert Collected TBP
Copperhead,"Faerber, Jay",Image,19.0,False,,,,,,,,,,,Copperhead
Copra,"Fiffe, Michel",Copra Press,35.0,False,,,,,,,,,,,Copra
Corto Maltese,"Pratt, Hugo",IDW,75.0,False,,,,,,,,,,,Corto Maltese
Cosmic Ghost Rider,"Cates, Donny",Marvel,5.0,False,,,,,,,,,,,Cosmic Ghost Rider
Courtney Crumrin,"Naifeh, Ted",Oni Press,10.0,False,,,,,,,,,,,Courtney Crumrin
Creepshow Vol 3,,,,,,,,,,,,,,,Creepshow Vol 3
Crone Vol 2: Fatal Error,,,,,,,,,,,,,,,Crone Vol 2: Fatal Error
Cross Game,"Adachi, Mitsuru",Manga,17.0,False,,,,,,,,,,,Cross Game
Crossed: Badlands,"Gillen, Kieron",Avatar Press,6.0,False,,,,,,,,,,,Crossed: Badlands
Crosswind,"Simone, Gail",Image,6.0,False,,,,,,,,,,,Crosswind
"Crow, The","O'Barr, James",IDW,22.0,False,,,,,,,,,,,The Crow
Cyberpunk 2077 Kickdown,,,,,,,,,,,,,,,Cyberpunk 2077 Kickdown
Cyborg,"Semper, John",DC,24.0,False,,,,,,,,,,,Cyborg
Damage Control,"McDuffie, Dwayne",Marvel,15.0,False,,,,,,,,,,,Damage Control
Daredevil,"Miller, Frank",Marvel,55.0,False,,,,,,,,,,,Daredevil
Daredevil,"Nocenti, Ann",Marvel,51.0,False,,,,,,,,,,,Daredevil
Daredevil,"Waid, Mark",Marvel,57.0,False,,,,,,,,,,,Daredevil
Daredevil,"Soule, Charles",Marvel,48.0,False,,,,,,,,,,,Daredevil
Daredevil,"Bendis, Brian",Marvel,61.0,False,,,,,,,,,,,Daredevil
Daredevil,"Brubaker, Ed",Marvel,38.0,False,,,,,,,,,,,Daredevil
Daredevil,"Gale, Bob",Marvel,5.0,False,,,,,,,,,,,Daredevil
Daredevil,"Smith, Kevin",Marvel,6.0,False,,,,,,,,,,,Daredevil
Daredevil: End of Days,"Bendis, Brian",Marvel,8.0,False,,,,,,,,,,,Daredevil: End of Days
Daredevil: Woman Without Fear ,,,,,,,,,,,,,,,Daredevil: Woman Without Fear 
Daredevil: Yellow,"Loeb, Jeph",Marvel,6.0,False,,,,,,,,,,,Daredevil: Yellow
Daredevil/Punisher,"Soule, Charles",Marvel,4.0,False,,,,,,,,,,,Daredevil/Punisher
"Dark and Bloody, The","Aldridge, Shawn",Vertigo,6.0,False,,,,,,,,,,,The Dark and Bloody
Dark Avengers,"Bendis, Brian",Marvel,18.0,False,,,,,,,,,,,Dark Avengers
Dark Empty Void,,,,,,,,,,,,,,,Dark Empty Void
Dark Knights of Steel Allwinter,,,,,,,,,,,,,,,Dark Knights of Steel Allwinter
Dark Nights: Metal,"Snyder, Scott",DC,26.0,False,,,,,,,,,,,Dark Nights: Metal
Days of Hate,"Kot, Ales",Image,12.0,False,,,,,,,,,,,Days of Hate
Daytripper,"Moon, Fabio",Vertigo,10.0,False,,,,,,,,,,,Daytripper
DC: New Frontier,"Cooke, Darwyn",DC,6.0,False,,,,,,,,,,,DC: New Frontier
Dead Dead Demon's Dededede Destruction,"Asano, Inio",Manga,7.0,False,,,,,,,,,,,Dead Dead Demon's Dededede Destruction
Deadpool,"Kelly, Joe",Marvel,71.0,False,,,,,,,,,,,Deadpool
Deadpool,"Duggan, Gerry",Marvel,104.0,False,,,,,,,,,,,Deadpool
Deadpool and Cable,"Nicieza, Fabian",Marvel,51.0,False,,,,,,,,,,,Deadpool and Cable
Deadpool: Suicide Kings,"Benson, Mike",Marvel,5.0,False,,,,,,,,,,,Deadpool: Suicide Kings
Death,"Gaiman, Neil",Vertigo,15.0,False,,,,,,,,,,,Death
Death Note,"Ohba, Tsugumi",Manga,12.0,False,,,,,,,,,,,Death Note
"Death of Captain Marvel, The","Starlin, Jim",Marvel,5.0,False,,,,,,,,,,,The Death of Captain Marvel
Death Strikes: The Emperor of Atlantis,,,,,,,,,,,,,,,Death Strikes: The Emperor of Atlantis
Death Vigil,"Sejic, Stjepan",Image,8.0,False,,,,,,,,,,,Death Vigil
Deathstroke,"Priest, Christopher",DC,50.0,False,,,,,,,,,,,Deathstroke
Defenders,"Bendis, Brian",Marvel,10.0,False,,,,,,,,,,,Defenders
Defenders,"Fraction, Matt",Marvel,12.0,False,,,,,,,,,,,Defenders
Dejah Thoris,"Chu, Amy",Dynamite,11.0,False,,,,,,,,,,,Dejah Thoris
Delicious in Dugeon,"Kui, Ryoko",Manga,6.0,False,,,,,,,,,,,Delicious in Dugeon
Demon Knights,"Cornell, Paul",DC,23.0,False,,,,,,,,,,,Demon Knights
Descender,"Lemire, Jeff",Image,32.0,False,,,,,,,,,,,Descender
"Deviant Vol 1, The",,,,,,,,,,,,,,,The Deviant Vol 1
Dial-H,"Mieville, China",DC,15.0,False,,,,,,,,,,,Dial-H
Django/Zorro,"Tarentino, Quentin",Dynamite,7.0,False,,,,,,,,,,,Django/Zorro
DMZ,"Wood, Brian",Vertigo,72.0,False,,,,,,,,,,,DMZ
Do Gees See God,,,,,,,,,,,,,,,Do Gees See God
Doctor Strange,"Aaron, Jason",Marvel,36.0,False,,,,,,,,,,,Doctor Strange
Doctor Strange: The Oath,"Vaughan, Brian K.",Marvel,5.0,False,,,,,,,,,,,Doctor Strange: The Oath
Doctor Who: The 15th Doctor,,,,,,,,,,,,,,,Doctor Who: The 15th Doctor
Dog Days of Summer,Various,DC,1.0,False,,,,,,,,,,,Dog Days of Summer
Doktor Sleepless,"Ellis, Warren",Avatar Press,13.0,False,,,,,,,,,,,Doktor Sleepless
"Domain, The",,,,,,,,,,,,,,,The Domain
DOOM (2024),,,,,,,,,,,,,,,DOOM (2024)
Doom 2099,"Ellis, Warren",Marvel,15.0,False,,,,,,,,,,,Doom 2099
