Title,System,Year,Played,Rating,Random Game,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
As Dusk Falls,,2022,,7.7,,,,,,,,,,,,,As Dusk Falls
Ascendancy,,1995,,7.7,,,,,,,,,,,,,Ascendancy
Asgard's Wrath,PC,,FALSE,88,,,,,,,,,,,,,Asgard's Wrath
Ashen,PC,,FALSE,81,,,,,,,,,,,,,Ashen
Asheron's Call,PC,,FALSE,81,,,,,,,,,,,,,Asheron's Call
Asheron's Call 2: Fallen Kings,PC,,FALSE,82,,,,,,,,,,,,,Asheron's Call 2: Fallen Kings
Asheron's Call Dark Majesty,PC,,FALSE,80,,,,,,,,,,,,,Asheron's Call Dark Majesty
Ashes of the Singularity: Escalation,,2016,,7.7,,,,,,,,,,,,,Ashes of the Singularity: Escalation
Assassin's Creed,PS3,,TRUE,81,,,,,,,,,,,,,Assassin's Creed
Assassin's Creed II,PS3,,TRUE,91,,,,,,,,,,,,,Assassin's Creed II
Assassin's Creed III,PS3,,TRUE,85,,,,,,,,,,,,,Assassin's Creed III
Assassin's Creed IV: Black Flag,PS3,,TRUE,88,,,,,,,,,,,,,Assassin's Creed IV: Black Flag
Assassin's Creed Odyssey,XBO,,TRUE,87,,,,,,,,,,,,,Assassin's Creed Odyssey
Assassin's Creed Origins,XBO,,TRUE,85,,,,,,,,,,,,,Assassin's Creed Origins
Assassin's Creed Origins: The Curse of the Pharoahs,PS4,,TRUE,83,,,,,,,,,,,,,Assassin's Creed Origins: The Curse of the Pharoahs
Assassin's Creed Syndicate,XBO,,TRUE,78,,,,,,,,,,,,,Assassin's Creed Syndicate
Assassin's Creed Valhalla,XBSX,,TRUE,84,,,,,,,,,,,,,Assassin's Creed Valhalla
Assassin's Creed: Brotherhood,PS3,,TRUE,90,,,,,,,,,,,,,Assassin's Creed: Brotherhood
Assassin's Creed: Mirage,,2023,TRUE,7.5,,,,,,,,,,,,,Assassin's Creed: Mirage
Assassin's Creed: Nexus VR,,2023,FALSE,7.7,,,,,,,,,,,,,Assassin's Creed: Nexus VR
Assassin's Creed: Revelations,PC,,TRUE,80,,,,,,,,,,,,,Assassin's Creed: Revelations
Assassin's Creed: The Ezio Collection,,2016,,7.5,,,,,,,,,,,,,Assassin's Creed: The Ezio Collection
Assassin's Creed: The Rebel Collection,SWITCH,,FALSE,80,,,,,,,,,,,,,Assassin's Creed: The Rebel Collection
Assault Android Cactus,PS4,,FALSE,85,,,,,,,,,,,,,Assault Android Cactus
Assault Android Cactus+,SWITCH,,FALSE,86,,,,,,,,,,,,,Assault Android Cactus+
Assault Heroes,X360,,FALSE,79,,,,,,,,,,,,,Assault Heroes
Assault Heroes 2,,2008,,7.7,,,,,,,,,,,,,Assault Heroes 2
Assault Suits Valken: Declassified,,2023,,7.6,,,,,,,,,,,,,Assault Suits Valken: Declassified
Assetto Corsa,PC,,FALSE,85,,,,,,,,,,,,,Assetto Corsa
Assetto Corsa Competizione,PS5,,FALSE,80,,,,,,,,,,,,,Assetto Corsa Competizione
